"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17779","Add New Employee","chromium","2026-09-16","passed","2026-09-16","","TC002.spec.ts","",""
"","3273","TC001_Login_Logout","chromium","2026-09-16","passed","2026-09-16","","TC001.spec.ts","",""
